full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,insurance_value,transmission_type_value,fuel_type_value,body_type_value,owner_type_Value
ai Creta 1.6 SX Option,1038000.0000000001,2018,1591,Third Party,Manual,80483,First Owner,Petrol,121.3,5.0,15.8,SUV,Delhi,2,1,1,3,1
i Baleno 1.2 Zeta,541000.0,2017,1197,Zero Dep,Manual,56740,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Delhi,6,1,1,1,1
ai i10 Sportz 1.2,166000.0,2010,1197,Third Party,Manual,103287,First Owner,Petrol,78.9,5.0,20.36,Hatchback,Delhi,2,1,1,1,1
eltos HTK Plus D,1104000.0,2019,1493,Zero Dep,Manual,70292,First Owner,Diesel,113.43,5.0,20.8,SUV,Delhi,6,1,2,3,1
lt KWID RXT,272000.0,2019,799,Third Party,Manual,61415,First Owner,Petrol,53.3,5.0,25.17,Hatchback,Delhi,2,1,1,1,1
Ecosport 1.5 TDCi Titanium BSIV,450000.0,2016,1498,Third Party,Manual,90000,Second Owner,Diesel,98.59,5.0,22.77,SUV,Delhi,2,1,2,3,2
 City i DTec E,475000.0,2016,1498,Third Party,Manual,120000,First Owner,Diesel,98.6,5.0,26.0,Sedan,Delhi,2,1,2,2,1
i Wagon R VXI Optional,350000.0,2017,998,Third Party,Manual,120000,First Owner,Petrol,67.04,5.0,20.51,Hatchback,Delhi,2,1,1,1,1
Tiago 1.2 Revotron XZ,459999.99999999994,2019,1199,Third Party,Manual,70000,First Owner,Petrol,84.0,5.0,23.84,Hatchback,Delhi,2,1,1,1,1
lt Duster 85PS Diesel RxE,300000.0,2013,1461,Third Party,Manual,70000,Second Owner,Diesel,83.8,5.0,20.45,SUV,Delhi,2,1,2,3,2
ai Creta 1.6 SX Option,1000000.0,2018,1591,Third Party,Manual,40000,First Owner,Petrol,121.3,5.0,15.8,SUV,Delhi,2,1,1,3,1
ai i10 Sportz 1.2,100000.0,2008,1197,Third Party,Manual,120000,First Owner,Petrol,78.9,5.0,20.36,Hatchback,Delhi,2,1,1,1,1
